Text-ID,Sentence-ID,Security,Conformity,Tradition,Benevolence,Universalism,Self-Direction,Stimulation,Hedonism,Achievement,Power
BG_002,1,0,0,0,0,0,0,0,0,0,0
BG_002,2,0,0,0,0,0,0,0,0,0,0
BG_002,3,0,1,0,0,0,0,0,0,0,2
BG_002,4,0,0,0,0,0,0,0,0,0,0
BG_002,5,0,0,0,0,2,1,0,1,0,0
BG_002,6,0,0,0,0,0,0,0,0,0,1
BG_002,7,0,0,0,0,0,0,0,0,0,2
BG_002,8,0,1,0,0,0,0,0,0,0,2
BG_002,9,1,3,0,0,1,0,0,0,0,0
BG_002,10,0,1,0,0,0,0,0,0,0,2
BG_002,11,0,0,0,0,0,0,0,0,0,0
BG_002,12,0,0,0,0,0,0,0,0,1,0
BG_002,13,0,0,0,0,0,0,0,0,0,0
BG_002,14,0,0,0,0,0,0,0,0,0,0
BG_002,15,0,0,0,0,0,0,1,0,0,0
BG_002,16,0,0,0,0,0,0,0,0,0,0
BG_002,17,0,2,0,0,0,0,0,0,0,0
BG_002,18,0,0,0,0,0,0,0,0,0,0
BG_002,19,0,0,1,0,0,2,0,0,0,0
BG_002,20,0,0,0,0,0,0,0,0,0,0
BG_002,21,0,0,0,0,0,2,0,0,0,1
BG_002,22,0,0,0,0,0,0,0,0,0,1
BG_002,23,0,0,0,0,0,0,0,1,0,1
BG_002,24,0,1,0,0,0,0,0,0,0,1
BG_002,25,0,0,0,0,0,0,0,0,0,1
BG_002,26,0,0,0,0,0,1,0,0,0,0
BG_002,27,0,0,0,0,0,0,0,0,0,0
BG_002,28,0,1,0,0,0,0,0,0,0,0
BG_002,29,1,1,0,0,0,0,0,0,0,0
BG_002,30,0,0,0,0,0,0,0,0,0,0
BG_003,1,0,0,0,0,0,0,0,0,0,0
BG_003,2,0,0,0,0,0,0,0,0,0,0
BG_003,3,0,0,0,0,0,2,0,0,0,0
BG_003,4,0,0,0,0,0,1,0,0,1,0
BG_003,5,0,1,0,0,0,0,0,0,0,0
BG_003,6,0,0,0,0,1,0,0,0,0,0
BG_003,7,0,0,0,0,0,0,0,0,0,0
BG_003,8,0,0,0,0,0,0,0,0,0,0
BG_003,9,0,0,0,0,0,0,0,0,0,0
BG_003,10,0,0,0,0,0,0,0,0,0,0
BG_003,11,0,0,0,0,0,0,0,0,0,0
BG_003,12,1,0,0,0,0,0,0,0,0,0
BG_003,13,0,0,0,0,0,0,0,0,0,0
BG_003,14,0,0,0,0,0,0,0,0,0,0
BG_003,15,0,1,0,0,0,0,0,0,0,1
BG_003,16,0,0,0,0,0,0,0,0,0,0
BG_003,17,0,0,1,0,0,0,0,0,0,0
BG_003,18,0,0,1,0,0,1,0,1,0,0
BG_003,19,0,0,0,0,0,0,0,0,1,0
BG_003,20,0,0,0,0,0,0,0,0,0,0
BG_003,21,0,0,0,0,0,0,0,0,0,0
BG_003,22,0,0,0,0,0,0,0,0,0,0
BG_003,23,0,0,0,0,0,2,0,0,0,0
BG_003,24,0,0,0,0,0,0,0,0,0,0
BG_003,25,0,0,0,0,0,0,0,0,1,0
BG_003,26,0,0,0,0,0,0,0,0,0,0
BG_003,27,0,0,0,0,0,2,0,0,0,0
BG_003,28,0,0,0,2,0,1,0,0,2,0
BG_003,29,0,0,0,0,0,0,0,0,0,0
BG_003,30,0,1,0,0,0,0,0,0,0,0
BG_003,31,0,1,0,0,0,0,0,0,0,0
BG_003,32,0,0,0,0,0,0,0,0,0,0
BG_003,33,0,0,0,0,0,2,0,0,0,0
BG_003,34,0,0,0,0,0,0,0,0,0,0
BG_003,35,0,2,0,0,0,1,0,1,0,0
BG_003,36,0,1,0,0,0,0,0,0,0,1
BG_003,37,0,0,0,0,1,0,0,0,0,0
BG_003,38,0,0,0,0,0,0,2,0,0,0
BG_004,1,0,0,0,0,0,0,0,0,0,0
BG_004,2,1,0,0,0,0,0,0,0,0,0
BG_004,3,0,0,0,0,1,0,0,1,1,0
BG_004,4,0,0,0,0,0,0,0,1,0,0
BG_004,5,0,0,0,0,1,0,0,0,0,0
BG_004,6,0,0,0,0,0,0,0,0,0,0
BG_004,7,0,0,0,0,0,0,0,0,0,1
